Key,English,Arabic,French,Russia,German,Chinise
Settings,Settings,ﺕﺍﺩﺍﺪﻋﺍ,paramètres,Настройки,Einstellungen,設置
Language,Language,ﺔﻐﻠﻟﺍ,langue,Язык,Sprache,語言
Music,Music,ﺎﻘﻴﺳﻮﻣ,Musique,Музыка,Musik,音樂
Sound,Sound,ﺕﻮﺼﻟﺍ,Son,Звук,Klang,聲音
Start,Start,ﺀﺪﺑ,Commencer,Начинать,Start,開始
Stage,Stage,ﺔﻠﺣﺮﻣ,Organiser,Этап,Bühne,階段
Car,Car,ﺓﺭﺎﻴﺳ,Voiture,Машина,Auto,車
Tune,Tune,ﺕﺍﺩﺍﺪﻋﺍ,Régler,мелодия,Melodie,調
Resume,RESUME,ﺭﺍﺮﻤﺘﺳﺍ,Reprendre,Резюме,Fortsetzen,恢復
Restart,RESTART,ﺓﺩﺎﻋﺍ,Redémarrage,Перезапуск,Neu starten,重新開始
Exit,EXIT,ﺝﻭﺮﺧ,Sortie,Выход,Ausfahrt,出口
MainMenu,Main Menu,ﺔﻤﺋﺎﻘﻟﺍ,Menu principal,Главное меню,Hauptmenü,主菜單
Retry,RETRY,ﺔﻟﻭﺎﺤﻣ ﺓﺩﺎﻋﺇ,Recommencez,Повторить попытку,Wiederholen,重試
Distance,Distance,ﺔﻓﺎﺴﻣ,Distance,Расстояние,Distanz,距離
LevelSuccess,Level Succeesed!,ﻯﻮﺘﺴﻤﻟﺍ ﺀﺎﻬﻧﺍ ﻢﺗ,Niveau réussi !,Уровень успешен,Stufe erfolgreich!,關卡成功！
Shop,Shop,قوست,Boutique,Магазин,Geschäft,店鋪
